word,translation,partofspeech
a little,poko,
a pity,pekado,
above;over;on top,ensíma,
absent-minded,distraido/a,
accentuate;stress,aksantuar,
accentuation,aksantuasion,
accomplish,kumplir,
accomplished action,écha,
according to,asigun,
account;bill,kuénto,
across,enfrente,
address as plural you,vuvuayar,
advance,avansar,
advantage,avantaje,
advice;counsel,konsejo,
advise,konsejar,
aerated water,gazoza,
affection,karinyo,
after,dempues,
after;later,despues,
after;later,dospues,
again,de muévo,
against;opposite,kontra,
age,edad,
ailment,desrepozo,
air;wind;draught,ayre,
all,todo/a,
all at once,todo enduna,
all day,dia entero,
alone,solo/a,
already;at once,ya;pishin,
already;indeed,ya,
although;though,aunke,
although;though,malgrádo,
always,siempre,
anaesthetic,anesteziko,
and,e,
animate,animar,
annotate,notar,
announcer,spiker,
annoy;bother,molestar,
tomes sehora,una puerta se serra;otra se avre,
annoying,fastidiozo/a,
answer,repuesta,
answer back;answer,replikar;kontestar,
answer for,responder de,
apartment,etaj;apartamento,
apparent,aparente,
appear,apareser,
appear;seem,pareser,
apple,mansana,
apprenticeship,aprendizaje,
approach;come near,aserkarse,
appropriate,apropiado,
approximately,aproksimativamente,
April,avril,
Arab,arabo,
arc,arko,
archives,archivo,
ardour,ardor,
arise,surjir,
arise from;stem from,provenir,
arm,braso,
arm,arma,
armchair,fotolyo,
army,armada,
arrangement;settlement,arreglamiento,
arrangement;settlement,arreglar,
arrest;stop,arrestar,
arrive,arrivar,
arrow,flecha,
article,artikolo,
article;report,reportaje,
as soon as,apenas ke,
asparagus,asparago,
aspect,aspekto,
aspirin,aspirin,
assault,asaltar,
assist,asistir,
astronaut,astronoto/a,
astronomical,astronomiko/a,
at a time,en mizmo tiempo,
at once,en vista;pishin,
at once,pishin,
at the end,a la fin,
atomic,atomiko/a,
attachment,atamiento,
attack,atakar,
attention;civility,atansión;atansyón;atensión,
augur,ogurar,
autumn,otonyo,
avenue,avenida,
awake;smart,espierto/a,
awaken,espertarse,
babbling;chattering,avladéro,
disho;no tiene dinguna valor,es todo avladero,
bachelor,soltero;muchacho,
bachelor,diplomado/a,(degree)
back,espalda,
back;backwards;behind,atrás,
back;rear,trazera,
bad;naughty,malo/a,
bad;naughty,málo;mála,
bag;purse,bolsa de mujer,
balance,ekilibrar,
bald,kalavasudo;kalvo,
ballpoint pen;fountain pen,stilo,
banana,banana,
bar,bar,
barbarian,barbaro,
basement,bodrum,
baseness,basheza,
basketball,basketbol,
bathe,benyarse,
be able to,pueder,
be born,naser,
be buried,enterrarse,
be certain,estar seguro,
be fast,avansar;adelantar,(clock)
be frightened,espantarse,
be on familiar terms,tutuayar,
be ruined;be bankrupt,falitar,
be slow,atrazar,(clock)
be stunned,shashearse,
be successful,reushir,
esta ropa ya abasta 4 metros,esta ancha Ya,
be worth,valer,
be worth the trouble,valer la pena,
be wrong;make a mistake,yerrarse,
beach,plaj,
beautiful,ermozo/a,
beauty;loveliness,ermozúra,
because,porke,
bed;bedding,káma,
bed;bedding,káma,
bedroom;dormitory,kam de echar;dormitorio,
beer,bira,
before,en prezensia,
beget;breed,enjendrar,
beggar,sedakero/a,
begin,empesar,
beginning,empesijo,
beginning,en primero;empesijo,
beginning,prinsipio,
beginning from,a partír de,
behind,detrás,
behind somebody's back,a las,(to do something)
behind;after,despues;atras,
bejewelled,yeno de djoya,
believe,kreyer,
belly,tripa,
belt,sintura,
benediction,beraha;bendision,
besides;moreover,indemas,
besides;moreover,por demaziya;indemas,
better,mijor,
between;among,entre,
Bible,Bíblia;Bíblya,
bicycle,bisikleta,
big,grande,
big slice,tajada,
billfold;wallet,portofolio,
bird,pasharo,
blind,siego/a,
blond,blondo/a,
blood,sangre,
blue,blu,
body,puerpo;kuerpo,
boil,buyir,
bone,gueso,
bore,enfasyar,
boredom,infasio,
Bosphorus,Bosfor,
bottom;background,fondo,
boy;girl,muchacho/a,
boy;son,,(m/f)
boy;son,,(m/f)
brain,meoyo,
brake,freno,
branch,ramo,
brave,korajozo,
bravery,bravura,
bread,pan,
break,romper,
breeches,bragas,
bridge,ponte,
briefcase,chanta de ombre,
briefcase,portofolio de dokumentos,
brig,brig,
bring,traer,
bring near,aserkar,
brother,ermano,
build,konstruir,
bull,toro,
bull-fighter,torero,
burial;funeral,enterramiento,
burn,kemar,
burnt,kemado/a,
burst,eksplozar,
bury,enterrar,
bus;motor-coach,otobus,
business;trade,negosio;echo,
but,ma,
but,ma,
butcher,kasap;karnesero,
Butterfly,Pozaflor;papiyon,
buy,merkar,
by;for,por,
cabbage,kol,
cabin,kamara,
cake,pasta;pastel,
calculation,kalkolo,
calm,kalmo/a,
cannon,kanon,
cap,takia,
capable,kapachi,
capacity;ability,kapachedad,
capacity;ability,kapachitad,
capital letter,majiskula,
cardiac,kardiako/a,
careless,deskudiado/a,
carelessness,deskudio,
caress;pat,karesar,
carry;take,yevar,
case;cashier's office,kasha,
case;event,kavzo,
cast a shadow on,asolombrar,
castanets,kastanyetas,
Castilian,kasteyáno;kastilyáno,
cat,gato,
catch cold,aferrár abasháda,
cause,kavzar,
cause,kavza,
celebrate,selebrar,
cell,selula,
cemetery,sementario;betahayim,
center,sentro,
chair,siya,
change,trokar,
change one's mind,trokar de opinion,
chant;song,kánto,
character,karakter,
charity,bienfezensia,
cheek,kára,
chemist,kimiko/a,
chemistry,kimika,
chest,pecho,
chestnut-coloured,shaten,
chew,mashkar,
chewing-gum,chiklet,
chicken;chick,poyo,
chief,shef,
chief;hothead,kapo,
child,kreatura,
child,kriatura,
chin,keshada,
Chinese,kinezo/a,
chocolate,chicolata,
choir,koro,
choose,eskojer,
christian,kristiáno;kristiána,
Christmas,Noel,
cigarette,sigaro,
cinema,sinema,
circulate,sirkular,
circulation;traffic,sirkulasion,
circumstance,sirkunstansia,
city,sivdad,
civil,sivil,
class,klasa,
classic,klasiko/a,
clear,klaro/a,
client,kliente,
cloth;goods;merchandise,ropa,
cloudy,nuvlozo,
clown,paylacho,
clue,indisio,
coach;carriage,karosa,
coal,karvon,
cock,gayo,
coffee;café,kavé;kafé,
coincide,koensidar,
cold blood;sang-froid,sangre fria;kalmo,
colleague,kolego/a,
collect,arrekojer;rekojer,
Romansero Sefaradi dize,,
Cologne water,kolonya,
colony,koloniya,
column,kolona,
comb oneself,peynarse,
combination,kombinasion,
come,venir,
come on,áyde,
comedy,komedia,
comestible,de komer,
commander,komandante,
commandment,enkomendansa,
comments;remarks;commentary,komentário,
common,komun,
communicate,komunikar,
community,komunidád;komunitá,
companion,kompanyero/a,
competitive,kompetitivo/a,
complain,kesharse,
completed,komplido,
completely,kompletamente,
compliment,komplimento;komplimieento,
compound,kompuesto,
computer,komputadóra;kompúter,
computer science,enformatika,
concede,dar razon,
concert,konserto,
conclusion,konkluzion,
condemnation;sentence,kondanasion,
condition,kondision,
conduct,kondukta,
conductor,konduktor/a,
confidence,konfiensa,
confidence;secret,konfidensia,
confuse;mix;mingle,konfonder,
confused,konfuzo/a,
congratulation,felisitasion,
congress,kongreso,
conquer,konkuistar,
conscience,konsensia;konsensya,
consent,konsentir,
consequence,konsekuensa,
consequently,por konsekuensa,
consider,konsiderar,
consider oneself,konsiderarse,
consonant,konsonante,
constant,konstante,
consternation,konsternasion,
consulate,konsolato,
consulate,konsul,
contain;keep in check,kontener,
contemplate,kontemplar,
content;pleased,kontente,
context,konteksto,
continue;proceed,kontinuar,
continuity,kontinuidad,
continuous,kontinuado,
contrary,kontrario,
contribution,kontribusyon,
control,kontrolar,
convince,konvenser,
cook,kozer,
copy,kopia;kopya,
corn,kayo,(in foot)
corner,kanton,
corner,punta,
correct,korijar,
correctly,korektamente,
corridor,koridor,
corroborate,konfirmar,
cost,kostar,
costume;suit,komple;kostum,
count;tell,kontar,
counter;stand,kontuar,
country,payis,
courage,koraje,
course,korso,
course,kúrso,
Court,Korte,
courtesy,politeza,
cousin,primo/a,
cover,kuvrir;kuvijar,
cow,vaka,
coward,espantozo,
craft;trade,ofisio,
cream caramel,krem karamel,
create,krear,
creature,kriansa,
crime,krimen,
crisis,kriza,
criterion,kriter,
cross,pasar enfrente,
crusade,kruzada,
cry,yorar,
cuffs,mansheta,
cultivated,kultivado/a,
cultural,kulturál,
culture,kultura,
cup,tasa;kupa,
curiosity,kuriozita,
curious,kuriozo/a,
curiously,kuriozamente,
current,korriente,
curtain,kortina,
curve,viraje,
custom;habit,kostúmbre,
cut,kortar,
dad,papa,
daily,kotidiano/a,
damned,maldicho/a,
dance,bayle,
dare,ozar,
dare,tener ozadia,
dark,eskuro,
dark;brown,moreno/a,
darkness,eskuridad,
date,data,
date,dáta,
dawn,madrugada,
day,dia;diya,
day,diya/dia,
day after tomorrow,pasado amanyana,
dear,kerido/a,
dear;expensive,karo/a,
decease;death,muerte,
deceased,defunkto/a,
decide,desidar,
decide,dechidir,
decide,dechidirse,
dedicate oneself,dedikarse,
deep;profound,profundo,
defend oneself,defenderse,
defend;protect;forbid,defender,
delay,retardo,
delegate,delegar,
deliver,entregar,
democracy,demokrasia,
demonstrate,demostrar,
dentist,dientisto/a,
deny,enyegar,
depend,depender,
describe,deskrivir,
description,deskripsion,
desert,dezierto,
desert,savor de boka,
deserve,mereser,
despair,dezesperarse,
despatch,espedir,
destiny,destino,
destroy,destruir,
detail,detalio;detalyo,
develop,dezvelopar,
devil,diavlo,
devour,devorar,
dialect,dialékto,
diaspora,diaspora,
dice,dado,
dictionary,diksionário;diksionáryo,
die;expire;pass away,murir,
difference;disparity,diferensia,
different;un like,diferénte,
difficult,zor,
difficult,difísil,
difficulty,difikultad,
diffuse,difuzar,
diffusion,difuzyon,
dignity,dinyidad,
dine,senar;komer por la noche,
dinner,sena,
direct,direkto/a,
direction;address,direksion;adreso,
directly,direktamente,
director;manager,direktór,
dirty,ensuziar,
dirty,suzio/a,
discourage,deskorajar,
discuss;argue,diskutir,
discussion;argument,diskusion,
disdain,desdenio,
