word,translation,partofspeech
a,at;to,(prep)
a la fin,finally,
a la fin,at the end,
a la létra,to the letter;literally,
a partír de,beginning from,
a pié;a pyé,on foot,(lok adv)
abafádo,stewed,(adj)
abandonár,abandon,(v)
abasháda,cold;flu,(f)
abashamentádo,with cold,(adj)
abashamiénto,cold;flu,(m)
abashár,take down;get down;lower,(v)
abásho,down;downwards;below,(adv)
abastár,be sufficient;be enough,(v)
abastesér,provide,(v)
abatído,depressed;distressed,(adj)
abediguár,help;assist,(v)
abistrú,ostrich,(m)
abituál,usual;habitual,(adj)
abituár,accustom,(v)
abokárse,to lean forward,(v)
aboltár,turn,(v)
abondánsa,abundance,(f)
abondánte,abundant;plentiful,(adj)
abondár,abound,(v)
aborresér,detest;hate,(v)
abrasár,embrace,(v)
abráso,embrace;hug,(m)
abrevár,water,(v)
abrigárse,take shelter;protect oneself;wrap oneself up,(v)
abrígo;avrígo,shelter;refuge,(m)
absolúto,absolute,(adj)
abudáho,dried salted fish roe,(m)
abudáraho;abutárgo,dried salted fish roe,(m)
achákes de,because of,(m)
achileárse,to open;to become emancipated,(v)
achunkádo,crouched,(adj)
adá,island,(f)
adelantár,advance;make progress,(v)
adelántre,forward;ahead,(adv)
además,besides;moreover,(adv)
adío;adiyo,good-bye,(interj)
Ansina ke sea,Adiyo!,
adjamí,novice;inexperienced,(adj)
adjektívo,adjective,(m)
adjénsia,agency,(f)
adjilé,haste;hurry,(f)
adjuntár,join;unite,(v)
adjustár,add,(v)
administrár,administer,(v)
admirár,admire,(v)
admirasión,admiration,(f)
adolensyárse,fall ill;whine,(v)
adolesénsia,adolescence,(f)
adovár,repair;mend;fix,(v)
adréso,address,(m)
aedádo,old;aged,(adj)
afalagár,console;comfort,(v)
aferrádo,smitten,(adj)
aferrár,seize;hold in place,(v)
aferrár abasháda,catch cold,
afilú,though,(adv)
afitár,happen;occur,(v)
afíto,happening;event;constipation,(m)
aflijár,afflict;distress;grieve,(v)
aflijárse;tenér péna,grieve,(v)
afloshár,slacken;loosen,(v)
afrisión;afriisyón,deprivation;persecution,(f)
aftahá;avtahá,hope,(f)
afuéra;ahuéra;fuéra,out;outside,(adv)
agá,lord;master,(m)
agóra,now,(adv)
agradár a;plazér a,be pleasing to,(v)
agradár;plazér,like,(v)
agradesér,be thankful,(v)
agradesimiénto,gratitude,(m)
agranáda,pomegranate,(f)
água,water,(f)
aguzádo,sharp,(adj)
aguzadór,sharpener,(m)
aguzár,sharpen,(v)
aharientár,damage,(v)
aharientárse,get damaged,(v)
aharóva,carob,(f)
aharvár,strike;beat,(v)
aínda;ayínda;daínda,yet;still,(adv)
áire;áyre,air;wind;draught,(m)
ajektívo,adjective,(m)
ajéno,stranger,(adj+ m/f)
akademíya;akademía,academy,(f)
akajú,mahogany,(m)
akásia;akásya,acacia,(f)
akavár,finish,(v)
akél;akéya,that,(adj+ pron)
akéyo,that,(m+pron)
akí,here,(adv)
aklarár,clear,(v)
akodrár,remember,(v)
akomodár,accommodate,(v)
akompanyár,accompany,(v)
akontesér,occur,(v)
akordár,grant;concede,(v)
akordárse,agree,(v)
akórdo,agreement,(m)
akorrúto,often,(adv)
akostumbrár,accustom,(v)
aksán;aksénto,accent,(m)
aksantuar,accentuate;stress,
aksantuasion,accentuation,
akseptár,accept,(v)
aksidénte,accident,(m)
aksión,action,(f)
aktividád,activity,(f)
aktívo,active,(adj)
ákto,act,(m)
aktór,actor,(m)
aktrísa,actress,(f)
aktuál,actual,(adj)
akudír,rush up;hurry to help,(v)
akumplído,gifted;,(adj)
al kontrário,on the contrary,(adv)
ála,wing,(f)
alargár,lengthen;prolong;extend,(v)
alarmár,alarm,(v)
aláy,multitude,(m)
alburníya,fried eggplant in tomato sauce,(f)
alderredór,around,(prep)
aldikéra;faldukéra,pocket,(f)
alégre,happy;glad,(adj)
alegría;alegríya,joy;happiness,(f)
alemán;almán,German,(m)
aleshár,move away,(v)
alevantár,lift,(v)
alevantárse,get up,(v)
alfilár,pin,(m)
alfinéte,pin,
álgo,something,(pron)
algodón,cotton,(m)
algúja;agúja,needle,(f)
algún,someone;something,(adj)
algúno,someone;some;any,(pron)
alhád,Sunday,(m)
alhád,Sunday,(m)
alhamóra;chapéta,hot flushes;reddening of the face,(f)
alícha,fish;very small,(f)
alimentár,feed,(v)
aliménto,food,(m)
alimpiár;alimpyár,clean,(v)
alishtereádo,accustomed,(adj)
alishtereár,accustom,(v)
alkansár,reach,(v)
alkidé,sugar candy,(m)
alkilár,rent;rent out,(v)
alkól,alcohol,(m)
alkúnya,surname,(f)
álma,soul;spirit,(f)
almáda,pillow,(f)
almán;alemán,German,(m)
almário;almáryo,cupboard,(m)
almastigá,mastic,(f)
almenára,chandelier,(f)
alméndra,almond,(f)
almodróte,eggplant or courgette soufflé,(m)
alsafran,saffron,
álto,tall,(adj)
aluénga,tongue,(f)
áma;ma,but,(konj)
amán,pity;pardon;help,(interj)
amanesér,dawn,(v)
amánte,lover,(m/f)
amanyána,tomorrow,(adv)
amárgo,bitter,(adj)
amargúra,bitterness,(f)
amaríyo,yellow,(adj)
amatár,turn off,(v)
amatór,amateur,(m)
ambasadór,ambassador,(m)
ambezár,learn,(v)
ambezárse,get accustomed;learn,(v)
ambiérto;fambrénto,hungry,(adj)
ámbre;fámbre,hunger,(f)
amén,amen,(m)
amerikána;merkána,Calico;cotton cloth,(f)
amígo,friend,(n+adj)
amijorár,improve,(v)
amijorarse,improve;recover,
amistád,friendship,(f)
amistózo;amistóza,friendly,(adj)
ámo,master;proprietor,(m)
amofádo;amufádo,mouldy,(adj)
amokárse,blow one's nose,(v)
amór,love,(m)
