entry,word,translation,partofspeech
1,a,at;to,(prep)
2,a la fin,finally,
3,a la fin,at the end,
4,a la létra,to the letter;literally,
5,a partír de,beginning from,
6,a pié;a pyé,on foot,(lok adv)
7,abafádo,stewed,(adj)
8,abandonár,abandon,(v)
9,abasháda,cold;flu,(f)
10,abashamentádo,with cold,(adj)
11,abashamiénto,cold;flu,(m)
12,abashár,take down;get down;lower,(v)
13,abásho,down;downwards;below,(adv)
14,abastár,be sufficient;be enough,(v)
15,abastesér,provide,(v)
16,abatído,depressed;distressed,(adj)
17,abediguár,help;assist,(v)
18,abistrú,ostrich,(m)
19,abituál,usual;habitual,(adj)
20,abituár,accustom,(v)
21,abokárse,to lean forward,(v)
22,aboltár,turn,(v)
23,abondánsa,abundance,(f)
24,abondánte,abundant;plentiful,(adj)
25,abondár,abound,(v)
26,aborresér,detest;hate,(v)
27,abrasár,embrace,(v)
28,abráso,embrace;hug,(m)
29,abrevár,water,(v)
30,abrigárse,take shelter;protect oneself;wrap oneself up,(v)
31,abrígo;avrígo,shelter;refuge,(m)
32,absolúto,absolute,(adj)
33,abudáho,dried salted fish roe,(m)
34,abudáraho;abutárgo,dried salted fish roe,(m)
35,achákes de,because of,(m)
36,achileárse,to open;to become emancipated,(v)
37,achunkádo,crouched,(adj)
38,adá,island,(f)
39,adelantár,advance;make progress,(v)
40,adelántre,forward;ahead,(adv)
41,además,besides;moreover,(adv)
42,adío;adiyo,good-bye,(interj)
43,Ansina ke sea,Adiyo!,
44,adjamí,novice;inexperienced,(adj)
45,adjektívo,adjective,(m)
46,adjénsia,agency,(f)
47,adjilé,haste;hurry,(f)
48,adjuntár,join;unite,(v)
49,adjustár,add,(v)
50,administrár,administer,(v)
51,admirár,admire,(v)
52,admirasión,admiration,(f)
53,adolensyárse,fall ill;whine,(v)
54,adolesénsia,adolescence,(f)
55,adovár,repair;mend;fix,(v)
56,adréso,address,(m)
57,aedádo,old;aged,(adj)
58,afalagár,console;comfort,(v)
59,aferrádo,smitten,(adj)
60,aferrár,seize;hold in place,(v)
61,aferrár abasháda,catch cold,
62,afilú,though,(adv)
63,afitár,happen;occur,(v)
64,afíto,happening;event;constipation,(m)
65,aflijár,afflict;distress;grieve,(v)
66,aflijárse;tenér péna,grieve,(v)
67,afloshár,slacken;loosen,(v)
68,afrisión;afriisyón,deprivation;persecution,(f)
69,aftahá;avtahá,hope,(f)
70,afuéra;ahuéra;fuéra,out;outside,(adv)
71,agá,lord;master,(m)
72,agóra,now,(adv)
73,agradár a;plazér a,be pleasing to,(v)
74,agradár;plazér,like,(v)
75,agradesér,be thankful,(v)
76,agradesimiénto,gratitude,(m)
77,agranáda,pomegranate,(f)
78,água,water,(f)
79,aguzádo,sharp,(adj)
80,aguzadór,sharpener,(m)
81,aguzár,sharpen,(v)
82,aharientár,damage,(v)
83,aharientárse,get damaged,(v)
84,aharóva,carob,(f)
85,aharvár,strike;beat,(v)
86,aínda;ayínda;daínda,yet;still,(adv)
87,áire;áyre,air;wind;draught,(m)
88,ajektívo,adjective,(m)
89,ajéno,stranger,(adj+ m/f)
90,akademíya;akademía,academy,(f)
91,akajú,mahogany,(m)
92,akásia;akásya,acacia,(f)
93,akavár,finish,(v)
94,akél;akéya,that,(adj+ pron)
95,akéyo,that,(m+pron)
96,akí,here,(adv)
97,aklarár,clear,(v)
98,akodrár,remember,(v)
99,akomodár,accommodate,(v)
100,akompanyár,accompany,(v)
101,akontesér,occur,(v)
102,akordár,grant;concede,(v)
103,akordárse,agree,(v)
104,akórdo,agreement,(m)
105,akorrúto,often,(adv)
106,akostumbrár,accustom,(v)
107,aksán;aksénto,accent,(m)
108,aksantuar,accentuate;stress,
109,aksantuasion,accentuation,
110,akseptár,accept,(v)
111,aksidénte,accident,(m)
112,aksión,action,(f)
113,aktividád,activity,(f)
114,aktívo,active,(adj)
115,ákto,act,(m)
116,aktór,actor,(m)
117,aktrísa,actress,(f)
118,aktuál,actual,(adj)
119,akudír,rush up;hurry to help,(v)
120,akumplído,gifted;,(adj)
121,al kontrário,on the contrary,(adv)
122,ála,wing,(f)
123,alargár,lengthen;prolong;extend,(v)
124,alarmár,alarm,(v)
125,aláy,multitude,(m)
126,alburníya,fried eggplant in tomato sauce,(f)
127,alderredór,around,(prep)
